Reference, Value, Footprint, Datasheet, Last Seen Price (eur), Mouser, MANUFACTURER, MAXIMUM_PACKAGE_HEIGHT
"C1","10uF","rak3172_easeboard:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.es/datasheet/2/585/MLCC-1837944.pdf","0.14","https://www.mouser.es/ProductDetail/Samsung-Electro-Mechanics/CL21A106MPFNNNE?qs=yOVawPpwOwlXBzwV9QwtkA%3D%3D","",""
"C2","100nF","rak3172_easeboard:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.es/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf","0.09","https://www.mouser.es/ProductDetail/KEMET/C0805C104M5RACTU?qs=sGAEpiMZZMsh%252B1woXyUXj%252BSRFd9RE8bC9ywBatmv%2F3c%3D","",""
"C3","100nF","rak3172_easeboard:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.es/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf","0.09","https://www.mouser.es/ProductDetail/KEMET/C0805C104M5RACTU?qs=sGAEpiMZZMsh%252B1woXyUXj%252BSRFd9RE8bC9ywBatmv%2F3c%3D","",""
"R4","100","rak3172_easeboard:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/392/susumu_RR_Data_Sheet-1206438.pdf","0.09","https://www.mouser.es/ProductDetail/Susumu/RR1220P-101-D?qs=nCAm%252BcMdy9wY7%252BMDbbfOYA%3D%3D","",""
"R6","5K1","rak3172_easeboard:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/315/AOA0000C307-1149632.pdf","0.09","https://www.mouser.es/ProductDetail/Panasonic/ERA-6AED512V?qs=MNPzkKEzRtSyMhgZIjuV%252BA%3D%3D","",""
"U1","RAK3172","rak3172_easeboard:RAK3172","https://docs.rakwireless.com/Product-Categories/WisDuo/RAK3172-Module/Datasheet","5.15","https://store.rakwireless.com/products/wisduo-lpwan-module-rak3172?utm_source=rak3172landingpage&utm_medium=header&utm_campaign=RAKwireless&variant=40014759329990","",""
"PH1","PH_1x10","rak3172_easeboard:PinHeader_1x10","~","~","~","",""
"PH3","PH_1x10","rak3172_easeboard:PinHeader_1x10","~","~","~","",""
"R7","1K","rak3172_easeboard:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/392/susumu_RR_Data_Sheet-1206438.pdf","0.09","https://www.mouser.es/ProductDetail/Susumu/RR1220P-102-D?qs=nCAm%252BcMdy9yTJng7kTk2Eg%3D%3D","",""
"LED2","LED","rak3172_easeboard:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/445/150080GS75000-1715657.pdf","0.15","https://www.mouser.es/ProductDetail/Wurth-Elektronik/150080GS75000?qs=2kOmHSv6VfQRoTEZVk1mGA%3D%3D","",""
"R1","1K","rak3172_easeboard:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/392/susumu_RR_Data_Sheet-1206438.pdf","0.09","https://www.mouser.es/ProductDetail/Susumu/RR1220P-102-D?qs=nCAm%252BcMdy9yTJng7kTk2Eg%3D%3D","",""
"LED1","LED","rak3172_easeboard:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/445/150080SS75000-1715426.pdf","0.15","https://www.mouser.es/ProductDetail/Wurth-Elektronik/150080SS75000?qs=LlUlMxKIyB2zzpiaOzrUdw%3D%3D","",""
"PH4","PH_1x8","rak3172_easeboard:PinHeader_1x8","~","~","~","",""
"PH2","PH_1x10","rak3172_easeboard:PinHeader_1x10","~","~","~","",""
"J1","Conn_Coaxial","rak3172_easeboard:SMA_Molex_73251-1153_EdgeMount_Horizontal","~","~","~","",""
"C5","10nF","rak3172_easeboard:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.es/datasheet/2/212/KEM_C1002_X7R_SMD-1102033.pdf","0.09","https://www.mouser.es/ProductDetail/KEMET/C0805C103J5RACTU?qs=Onq5MIl0ZjiJ615hCkQQ7A%3D%3D","",""
"U3","SPX3819","rak3172_easeboard:TSOT-23-5_HandSoldering","https://assets.maxlinear.com/web/documents/spx3819.pdf","0.47","https://www.mouser.es/ProductDetail/MaxLinear/SPX3819M5-L-3-3-TR?qs=S%2FCBhQS5rCp1Bb7a%252BD%2FCBQ%3D%3D","",""
